General.ID,Order,Family,Genus,Species,Common.name,IUCN.status,Survivorship,Age,Sex,Year,Month,Day,Date.accuracy,Latitude,Longitude,Location.accuracy,Locality,State.or.Province,Country,Deterrent,Building.height,Pane.type,Data.collection.method
1,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Unknown,Unknown,2014,December,2,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
2,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Male,2018,June,21,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
3,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Female,2017,June,12,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
4,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Female,2018,May,23,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
5,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Male,2019,February,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
6,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Ruddy Ground Dove,Least Concern,Dead,Adult,Female,2019,December,21,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
7,Columbiformes,Columbidae,Geotrygon,Geotrygon montana,Ruddy Quail-dove,Least Concern,Dead,Unknown,Unknown,2014,August,18,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
8,Columbiformes,Columbidae,Zenaida,Zenaida auriculata,Eared Dove,Least Concern,Dead,Adult,Unknown,2019,November,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
9,Coraciiformes,Alcedinidae,Chloroceryle,Chloroceryle americana,Green Kingfisher,Least Concern,Alive,Adult,Female,2018,December,2,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
10,Passeriformes,Tyrannidae,Elaenia,Elaenia mesoleuca,Olivaceous Elaenia,Least Concern,Dead,Adult,Unknown,2018,April,5,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
11,Passeriformes,Tyrannidae,Elaenia,Elaenia flavogaster,Yellow-bellied Elaenia,Least Concern,Dead,Adult,Unknown,2019,December,21,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
12,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,House Wren,Least Concern,Dead,Adult,Unknown,2018,November,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
13,Passeriformes,Turdidae,Turdus,Turdus albicollis,White-necked Thrush,Least Concern,Dead,Unknown,Unknown,2019,June,19,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
14,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Adult,Unknown,2018,December,26,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
15,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Adult,Unknown,2018,December,7,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,Present,Taller,Reflective,Systematic
16,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Juvenile,Unknown,2019,May,2,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
17,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Adult,Unknown,2019,November,14,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
18,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Adult,Female,2018,December,19,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
19,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Adult,Female,2018,December,21,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
20,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2014,August,15,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
21,Columbiformes,Columbidae,Geotrygon,Geotrygon montana,Ruddy Quail-dove,Least Concern,Dead,Unknown,Unknown,2014,August,18,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
22,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,c+omo ,2014,August,23,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
23,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2014,August,23,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
24,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Sayaca Tanager,Least Concern,Dead,Unknown,Unknown,2014,September,9,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
25,Passeriformes,Thraupidae,Stilpnia,Stilpnia cayana,Burnished-buff Tanager,Least Concern,Dead,Unknown,Unknown,2014,December,28,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
26,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2014,December,12,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
27,Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,Least Concern,Dead,Unknown,Unknown,2014,December,22,Exact,-23.58,-47.53,Precise,Sorocaba,Sao Paulo,Brazil,None,Taller,Reflective,Systematic
